input_name,station,type,rank,wind_speed_ms,wind_dir,date,stat_period
石見サービス,柏原,最大瞬間風速,1,28.3,南,2018/8/24,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,2,27.4,北北東,2017/10/22,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,3,26.6,南,2013/3/18,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,4,24.7,南南東,2020/9/7,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,5,24.5,南東,2022/9/6,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,6,23.7,東南東,2022/9/19,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,7,23.4,北,2023/8/15,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,8,22.7,南南東,2018/10/6,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,9,22.6,南西,2014/6/12,2008/3 2026/7
石見サービス,柏原,最大瞬間風速,10,22.2,南西,2012/4/3,2008/3 2026/7
